                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                0.66818,                 1.9795,                 1.0331,                 1.1659,                0.75879,                0.62899,                0.72134,                0.60822,                0.63779,                0.56092,                0.56294,                0.33293,                0.81131,                 3.1787,                 1.7757,                 1.4184,             1.8423e-05,             1.8423e-05,             1.8423e-05
                     84,                0.70175,                 2.0869,                  1.081,                 1.1972,                0.77183,                0.62798,                0.72734,                0.60618,                0.62765,                0.54849,                0.56149,                0.33016,                0.81806,                 3.1124,                 1.7489,                 1.4201,             1.7503e-05,             1.7503e-05,             1.7503e-05
                     85,                 0.6881,                 2.1123,                 1.0479,                 1.1758,                  0.671,                0.64518,                0.71867,                0.59527,                0.58003,                0.52393,                 0.5446,                 0.3281,                0.82348,                 3.0688,                  1.728,                 1.4117,             1.6582e-05,             1.6582e-05,             1.6582e-05
                     86,                0.69134,                 2.1418,                 1.0921,                 1.1926,                0.73583,                0.67868,                0.72266,                0.59863,                0.62063,                0.56889,                0.57687,                0.32957,                0.81276,                 3.0642,                  1.746,                  1.409,             1.5661e-05,             1.5661e-05,             1.5661e-05
                     87,                0.69909,                 2.1061,                 1.0734,                 1.2018,                0.75058,                 0.6653,                0.72076,                0.60253,                0.61162,                0.57886,                0.57367,                0.33018,                 0.8021,                 3.0645,                 1.7483,                 1.4098,             1.4741e-05,             1.4741e-05,             1.4741e-05
                     88,                0.69329,                 2.1169,                 1.0513,                 1.1799,                0.69773,                0.70197,                0.72441,                0.60344,                 0.6089,                0.61267,                0.59656,                0.33277,                0.81432,                 3.1635,                 1.7628,                 1.4223,              1.382e-05,              1.382e-05,              1.382e-05
                     89,                 0.6744,                 2.0213,                 1.0354,                 1.1697,                0.72184,                0.70098,                0.71937,                0.60214,                 0.6055,                0.61257,                0.59377,                0.32933,                0.80708,                 3.1346,                 1.7511,                 1.4016,             1.2899e-05,             1.2899e-05,             1.2899e-05
                     90,                0.67116,                 2.0984,                 1.0435,                 1.1688,                0.68632,                0.70078,                0.72023,                0.60049,                0.58549,                0.59436,                0.56927,                0.32483,                0.81869,                 3.1095,                 1.7512,                 1.3989,             1.1978e-05,             1.1978e-05,             1.1978e-05
                     91,                0.73837,                 2.2183,                 1.5396,                 1.2756,                0.63447,                0.71058,                0.71168,                0.59439,                0.80023,                0.52635,                0.56529,                0.31567,                0.82384,                 3.3033,                 1.7553,                 1.3937,             1.1058e-05,             1.1058e-05,             1.1058e-05
                     92,                0.73539,                  2.199,                 1.4634,                 1.2856,                0.66841,                0.71882,                0.70007,                0.56763,                0.55646,                0.63748,                0.57999,                0.29842,                0.86289,                 3.4862,                  1.753,                 1.4116,             1.0137e-05,             1.0137e-05,             1.0137e-05
